"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1992-10-14",20455818.1421126,227286.868245696
"1992-10-20",22826549.8464192,228265.498464192
"1992-11-17",5859548.4332448,234381.937329792
"1992-11-18",11939288.6656512,238785.773313024
"1992-11-23",91094162.8383362,546564.977030016
"1992-11-30",8543441.80747008,213586.045186752
"1993-01-06",22288303.2262464,445766.064524928
"1993-01-11",65274635.5736832,815932.94467104
"1993-01-13",55008804.5816602,500080.041651456
"1993-01-21",15090477.9692083,251507.966153472
"1993-01-27",139821792.467616,2796435.84935232
"1993-01-28",133142641.226381,2219044.02043968
"1993-02-08",9267628.16915712,231690.704228928
"1993-02-18",14011538.1533165,467051.271777216
"1993-02-24",61037166.7275953,1109766.66777446
"1993-03-03",13749754.5698688,274995.091397376
"1993-03-08",966397.3407648,193279.46815296
"1993-03-17",22187993.6288506,739599.787628352
"1993-03-25",137128112.791206,4570937.09304019
"1993-03-30",49107664.3641293,613845.804551616
"1993-04-05",72487140.2839987,604059.502366656
"1993-04-06",52038661.8685248,520386.618685248
"1993-04-13",12519127.0701101,178844.672430144
"1993-06-26",9492713.1194112,189854.262388224
"1993-07-13",1718719.3212336,171871.93212336
"1993-07-15",3852439.01949816,118536.585215328
"1993-07-28",2517036.92197172,125851.846098586
"1993-08-10",978385.560941377,130451.408125517
"1993-08-17",5053059.27018226,114842.256140506
"1993-08-24",2632025.972645,131601.29863225
"1993-08-31",9526377.99892748,122133.051268301
"1993-09-07",10903897.8944824,272597.447362061
"1993-09-08",46547567.7125438,581844.596406797
"1993-09-14",54992901.8406096,611032.24267344
"1993-09-21",5700521.0227392,114010.420454784
"1993-10-04",3006841.34632896,60136.8269265792
"1993-10-19",13651500.0959318,426609.377997869
"1993-10-20",10348035.9303767,258700.898259418
"1993-10-26",7543037.06661255,251434.568887085
"1993-11-01",11149044.7642157,111490.447642157
"1993-11-02",4974377.40061516,124359.435015379
"1993-11-09",5619294.71460403,127711.243513728
"1993-11-29",1510760.3998032,60430.415992128
"1993-12-15",1905393.03541171,63513.1011803904
"1994-01-03",2677042.9626958,133852.14813479
"1994-01-04",2266996.90114598,113349.845057299
"1994-02-15",7068156.75308736,117802.612551456
"1994-02-16",22314236.9270366,247935.965855962
"1994-02-23",55671826.5546912,556718.265546912
"1994-03-01",38227742.91,305821.94328
"1994-03-02",37777573.0094918,377775.730094918
"1994-03-22",5660397.18378088,141509.929594522
"1994-03-28",4980004.52437152,166000.150812384
"1994-04-19",3321935.81092921,195407.988878189
"1994-04-25",18230413.0252527,331462.055004595
"1994-04-26",1136886.95770454,174905.685800698
"1994-05-03",35046705.3847787,219041.908654867
"1994-05-10",3969299.70046431,184618.59071927
"1994-06-03",5423330.12978909,156067.05409465
"1994-06-07",2549698.70551401,509939.741102803
"1994-06-14",1514699.38643265,336599.863651699
"1994-06-21",195877755.848822,1646031.56175481
"1994-06-28",41960336.4263656,304060.408886707
"1994-07-05",46960084.8153953,745398.171672941
"1994-07-07",41142715.3445676,511089.631609536
"1994-07-12",28800157.6316297,306384.655655635
"1994-07-20",12375496.7750422,136494.44972473
"1994-07-26",13411735.6924003,147381.710905498
"1994-08-02",3198946.45821973,177719.247678874
"1994-08-10",31321904.211528,792959.600291847
"1994-08-15",212518481.94715,2560463.63791747
"1994-08-24",61545320.4685496,575189.910921024
"1994-08-29",299358090.686834,2993580.90686834
"1994-08-30",162662141.000116,1768066.75000126
"1994-09-07",55633170.6610606,347707.316631629
"1994-09-12",84011832.2575842,563837.800386471
